timestamp,algorithm,evacuated,deaths,deaths_floor_0,deaths_floor_1,evacuated_age_adults,evacuated_age_children,evacuated_age_elderly,evacuated_stafftype_civilian,evacuated_stafftype_staff,datetime
0,Random,0,120,0,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO,0,120,0,0,0,0,0,0,0,2025-01-01T00:00:00
0,SFM,0,120,0,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO SFM(Staff all evacuate),0,120,0,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO SFM(Staff all assist),0,120,0,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO SFM(Half Assist),0,120,0,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO SFM(Assist Mobile),0,120,0,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO SFM(Assist Elderly),0,120,0,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO SFM(Top Evac),0,120,0,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO SFM(Avoid Top),0,120,0,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO SFM(Zone Sweep),0,120,0,0,0,0,0,0,0,2025-01-01T00:00:00
0,MFO SFM,0,120,0,0,0,0,0,0,0,2025-01-01T00:00:00
0,ACO SFM,0,120,0,0,0,0,0,0,0,2025-01-01T00:00:00
1,Random,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:01
1,PSO,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:01
1,SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:01
1,PSO SFM(Staff all evacuate),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:01
1,PSO SFM(Staff all assist),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:01
1,PSO SFM(Half Assist),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:01
1,PSO SFM(Assist Mobile),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:01
1,PSO SFM(Assist Elderly),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:01
1,PSO SFM(Top Evac),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:01
1,PSO SFM(Avoid Top),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:01
1,PSO SFM(Zone Sweep),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:01
1,MFO SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:01
1,ACO SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:01
2,Random,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:02
2,PSO,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:02
2,SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:02
2,PSO SFM(Staff all evacuate),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:02
2,PSO SFM(Staff all assist),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:02
2,PSO SFM(Half Assist),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:02
2,PSO SFM(Assist Mobile),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:02
2,PSO SFM(Assist Elderly),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:02
2,PSO SFM(Top Evac),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:02
2,PSO SFM(Avoid Top),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:02
2,PSO SFM(Zone Sweep),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:02
2,MFO SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:02
2,ACO SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:02
3,Random,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:03
3,PSO,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:03
3,SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:03
3,PSO SFM(Staff all evacuate),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:03
3,PSO SFM(Staff all assist),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:03
3,PSO SFM(Half Assist),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:03
3,PSO SFM(Assist Mobile),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:03
3,PSO SFM(Assist Elderly),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:03
3,PSO SFM(Top Evac),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:03
3,PSO SFM(Avoid Top),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:03
3,PSO SFM(Zone Sweep),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:03
3,MFO SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:03
3,ACO SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:03
4,Random,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:04
4,PSO,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:04
4,SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:04
4,PSO SFM(Staff all evacuate),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:04
4,PSO SFM(Staff all assist),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:04
4,PSO SFM(Half Assist),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:04
4,PSO SFM(Assist Mobile),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:04
4,PSO SFM(Assist Elderly),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:04
4,PSO SFM(Top Evac),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:04
4,PSO SFM(Avoid Top),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:04
4,PSO SFM(Zone Sweep),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:04
4,MFO SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:04
4,ACO SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:04
5,Random,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:05
5,PSO,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:05
5,SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:05
5,PSO SFM(Staff all evacuate),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:05
5,PSO SFM(Staff all assist),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:05
5,PSO SFM(Half Assist),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:05
5,PSO SFM(Assist Mobile),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:05
5,PSO SFM(Assist Elderly),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:05
5,PSO SFM(Top Evac),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:05
5,PSO SFM(Avoid Top),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:05
5,PSO SFM(Zone Sweep),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:05
5,MFO SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:05
5,ACO SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:05
6,Random,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:06
6,PSO,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:06
6,SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:06
6,PSO SFM(Staff all evacuate),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:06
6,PSO SFM(Staff all assist),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:06
6,PSO SFM(Half Assist),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:06
6,PSO SFM(Assist Mobile),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:06
6,PSO SFM(Assist Elderly),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:06
6,PSO SFM(Top Evac),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:06
6,PSO SFM(Avoid Top),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:06
6,PSO SFM(Zone Sweep),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:06
6,MFO SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:06
6,ACO SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:06
7,Random,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:07
7,PSO,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:07
7,SFM,0,120,0,120,0,0,0,0,0,2025-01-01T00:00:07
7,PSO SFM(Staff all evacuate),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:07
7,PSO SFM(Staff all assist),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:07
7,PSO SFM(Half Assist),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:07
7,PSO SFM(Assist Mobile),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:07
7,PSO SFM(Assist Elderly),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:07
7,PSO SFM(Top Evac),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:07
7,PSO SFM(Avoid Top),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:07
7,PSO SFM(Zone Sweep),0,120,0,120,0,0,0,0,0,2025-01-01T00:00:07
