timestamp,algorithm,evacuated,deaths,deaths_floor_0,deaths_floor_1,deaths_floor_2,evacuated_age_adults,evacuated_stafftype_civilian,evacuated_stafftype_staff,datetime
0,Random,0,120,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO,3,117,0,0,0,3,0,3,2025-01-01T00:00:00
0,SFM,0,120,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO SFM(Staff all evacuate),0,120,0,0,0,0,0,0,2025-01-01T00:00:00
0,PSO SFM(Staff all assist),2,118,0,0,0,2,2,0,2025-01-01T00:00:00
0,PSO SFM(Half Assist),2,118,0,0,0,2,2,0,2025-01-01T00:00:00
0,PSO SFM(Assist Mobile),2,118,0,0,0,2,2,0,2025-01-01T00:00:00
0,PSO SFM(Assist Elderly),2,118,0,0,0,2,2,0,2025-01-01T00:00:00
0,PSO SFM(Top Evac),2,118,0,0,0,2,2,0,2025-01-01T00:00:00
0,PSO SFM(Avoid Top),2,118,0,0,0,2,2,0,2025-01-01T00:00:00
0,PSO SFM(Zone Sweep),2,118,0,0,0,2,2,0,2025-01-01T00:00:00
0,MFO SFM,0,120,0,0,0,0,0,0,2025-01-01T00:00:00
0,ACO SFM,0,120,0,0,0,0,0,0,2025-01-01T00:00:00
1,Random,0,120,0,0,0,0,0,0,2025-01-01T00:00:01
1,PSO,7,113,0,0,0,7,0,7,2025-01-01T00:00:01
1,SFM,4,116,0,0,0,4,4,0,2025-01-01T00:00:01
1,PSO SFM(Staff all evacuate),0,120,0,0,0,0,0,0,2025-01-01T00:00:01
1,PSO SFM(Staff all assist),2,118,0,0,0,2,2,0,2025-01-01T00:00:01
1,PSO SFM(Half Assist),2,118,0,0,0,2,2,0,2025-01-01T00:00:01
1,PSO SFM(Assist Mobile),2,118,0,0,0,2,2,0,2025-01-01T00:00:01
1,PSO SFM(Assist Elderly),2,118,0,0,0,2,2,0,2025-01-01T00:00:01
1,PSO SFM(Top Evac),2,118,0,0,0,2,2,0,2025-01-01T00:00:01
